DATE,SPPOPGROWUSA
1961-01-01,1.65773003738953
1962-01-01,1.53799735825387
1963-01-01,1.43916476170683
1964-01-01,1.38904605518369
1965-01-01,1.25017164562845
1966-01-01,1.1548931907552
1967-01-01,1.08888120728762
1968-01-01,0.998461043585335
1969-01-01,0.977242811872469
1970-01-01,1.16500266687286
1971-01-01,1.26433369185094
1972-01-01,1.07052275237269
1973-01-01,0.954476728552297
1974-01-01,0.913660196067714
1975-01-01,0.985986067347125
1976-01-01,0.950220048994522
1977-01-01,1.00577199618134
1978-01-01,1.0595730803427
1979-01-01,1.10357656509899
1980-01-01,0.959589922764484
1981-01-01,0.981415437259678
1982-01-01,0.953317566163514
1983-01-01,0.914378513375149
1984-01-01,0.865817336309961
1985-01-01,0.886129040850881
1986-01-01,0.924164157058979
1987-01-01,0.893829201032046
1988-01-01,0.907999040167679
1989-01-01,0.944405555428529
1990-01-01,1.12965052045579
1991-01-01,1.33626074073779
1992-01-01,1.38688569247935
1993-01-01,1.31867999977741
1994-01-01,1.2262960888682
1995-01-01,1.19078709090209
1996-01-01,1.16341161998189
1997-01-01,1.20396029701272
1998-01-01,1.16571452642589
1999-01-01,1.14834004729055
2000-01-01,1.11276899679534
2001-01-01,0.989741382223669
2002-01-01,0.927797485710314
2003-01-01,0.859481712840946
2004-01-01,0.925483968943482
2005-01-01,0.921713167161207
2006-01-01,0.964253917136075
2007-01-01,0.951055242772428
2008-01-01,0.945865287282592
2009-01-01,0.876651298802912
2010-01-01,0.829616674709795
2011-01-01,0.726786704810745
2012-01-01,0.733599941250847
2013-01-01,0.692860276624581
2014-01-01,0.733361519937424
2015-01-01,0.73621730882542
2016-01-01,0.724676067451429
2017-01-01,0.63264399508256
2018-01-01,0.526435395564053
2019-01-01,0.455381285963537
2020-01-01,0.964347900193196
2021-01-01,0.156747054750178
2022-01-01,0.377564531459432
